;accuracy;f1score;maccuracy;mf1score;runtime;macc_mean;macc_min;macc_max;macc_std;mf1_mean;mf1_min;mf1_max;mf1_std;clf;vect;lemma_stem
MMultinomialNB_count_lemma;0.09896907216494845;0.4215744596470355;"[0.5790378  0.70824742 0.69793814 0.78109966 0.7838488  0.84364261
 0.83298969 0.88316151 0.88522337]";"[0.60547504 0.50953206 0.32228219 0.50428016 0.28278221 0.0990099
 0.10989011 0.01734104 0.15228426]";15.08937120437622;0.7772432226040473;0.5790378006872853;0.8852233676975945;0.09474442473696815;0.28920855281650065;0.017341040462427744;0.605475040257649;0.199150622473533;MMultinomialNB;count;lemma
MMultinomialNB_count_stem;0.10652920962199312;0.43165186847497317;"[0.58797251 0.71030928 0.69656357 0.78213058 0.7814433  0.84398625
 0.83024055 0.88316151 0.88247423]";"[0.60598094 0.5135603  0.35781818 0.53244838 0.29333333 0.12015504
 0.11785714 0.01734104 0.18571429]";41.83526062965393;0.7775868652157312;0.5879725085910653;0.8831615120274914;0.09214048644339452;0.30491207116065155;0.017341040462427744;0.6059809398619783;0.19858173759421002;MMultinomialNB;count;stem
MGaussianNB_tfidf_lemma;0.03848797250859107;0.31649616368286443;"[0.5209622  0.52680412 0.6185567  0.64742268 0.59896907 0.77525773
 0.73024055 0.82268041 0.82027491]";"[0.50567376 0.380009   0.31226766 0.31508678 0.21730382 0.1484375
 0.15500538 0.09473684 0.12978369]";96.39061307907104;0.6734631538755249;0.5209621993127148;0.822680412371134;0.11126190188103514;0.2509227161338718;0.09473684210526316;0.5056737588652482;0.12881678093651333;MGaussianNB;tfidf;lemma
MGaussianNB_tfidf_stem;0.03573883161512027;0.3360079528509551;"[0.51786942 0.50274914 0.58247423 0.61134021 0.55945017 0.74158076
 0.69072165 0.79450172 0.78591065]";"[0.52681282 0.39683201 0.34642281 0.34510712 0.24052133 0.1790393
 0.19354839 0.13081395 0.14068966]";95.16357016563416;0.642955326460481;0.5027491408934708;0.7945017182130584;0.1066385279543969;0.277754153749782;0.13081395348837208;0.5268128161888701;0.1265179724813568;MGaussianNB;tfidf;stem
MGaussianNB_count_lemma;0.03814432989690722;0.32919206728914274;"[0.50962199 0.51443299 0.61340206 0.64295533 0.59140893 0.77388316
 0.72714777 0.82199313 0.81786942]";"[0.52857615 0.39692702 0.31693989 0.31689678 0.22236756 0.14766839
 0.1517094  0.09440559 0.13398693]";96.62545132637024;0.6680794196258113;0.5096219931271477;0.8219931271477663;0.11500007338643964;0.2566086346990313;0.09440559440559441;0.5285761480013214;0.13594127934712139;MGaussianNB;count;lemma
MGaussianNB_count_stem;0.03230240549828179;0.34322527585497914;"[0.49656357 0.48213058 0.57457045 0.60824742 0.54776632 0.73917526
 0.68659794 0.79209622 0.77972509]";"[0.53887315 0.4026952  0.34978992 0.35153584 0.24106113 0.17589577
 0.19292035 0.1294964  0.14419226]";101.24979519844055;0.6340969835815197;0.48213058419243987;0.7920962199312714;0.11236988202164679;0.2807177795606325;0.1294964028776978;0.5388731507711677;0.13042011629846856;MGaussianNB;count;stem
MLinearSVC_tfidf_lemma;0.11924398625429554;0.4303955154157583;"[0.60549828 0.74742268 0.71580756 0.77147766 0.77697595 0.8580756
 0.83883162 0.89690722 0.90343643]";"[0.54226475 0.51803279 0.39235856 0.48727833 0.31322751 0.34548336
 0.16399287 0.26108374 0.29573935]";16.73815107345581;0.7904925544100803;0.6054982817869415;0.9034364261168385;0.09017547068859172;0.3688290299155073;0.16399286987522285;0.5422647527910686;0.11994032649672727;MLinearSVC;tfidf;lemma
MLinearSVC_tfidf_stem;0.12920962199312716;0.44252112819468487;"[0.61237113 0.74089347 0.72268041 0.77010309 0.77938144 0.85670103
 0.83883162 0.89656357 0.90103093]";"[0.55520505 0.51417526 0.41900648 0.48578017 0.33677686 0.3652968
 0.20642978 0.28503563 0.29064039]";43.32509088516235;0.7909507445589921;0.6123711340206186;0.9010309278350516;0.08788446577540748;0.38426071337402185;0.206429780033841;0.555205047318612;0.1107859752766114;MLinearSVC;tfidf;stem
MLinearSVC_count_lemma;0.07628865979381444;0.4347901945389514;"[0.5742268  0.70652921 0.67044674 0.73402062 0.73848797 0.8233677
 0.79003436 0.86116838 0.87525773]";"[0.51808635 0.50348837 0.41273729 0.48809524 0.37775961 0.4009324
 0.2665066  0.28368794 0.33879781]";29.05833625793457;0.7526155021000382;0.5742268041237113;0.8752577319587629;0.09096667658814264;0.39889906886711723;0.26650660264105647;0.5180863477246207;0.08702268127413215;MLinearSVC;count;lemma
MLinearSVC_count_stem;0.08109965635738832;0.4330581326070304;"[0.5742268  0.695189   0.6628866  0.73264605 0.73676976 0.81512027
 0.78797251 0.84329897 0.8628866 ]";"[0.52474108 0.49343232 0.41432836 0.48408488 0.39494471 0.39140271
 0.28172293 0.25490196 0.32027257]";53.45121192932129;0.7456662848415427;0.5742268041237113;0.8628865979381444;0.08751318562031736;0.3955368371597672;0.25490196078431376;0.5247410817031071;0.08999078021556625;MLinearSVC;count;stem
MLogisticRegression_tfidf_lemma;0.12027491408934708;0.3243920782150915;"[0.62886598 0.74914089 0.72852234 0.77628866 0.78487973 0.85429553
 0.84226804 0.88900344 0.89450172]";"[0.52879581 0.39368771 0.2254902  0.38293839 0.14246575 0.19391635
 0.         0.05830904 0.12034384]";25.497506141662598;0.7941962581137839;0.6288659793814433;0.8945017182130585;0.08100551166159485;0.2273274538378344;0.0;0.5287958115183246;0.1642441756996089;MLogisticRegression;tfidf;lemma
MLogisticRegression_tfidf_stem;0.12577319587628866;0.34481909918779224;"[0.63745704 0.75257732 0.72886598 0.77800687 0.79003436 0.85635739
 0.84329897 0.88934708 0.89450172]";"[0.54427646 0.4165316  0.25354778 0.39285714 0.18857902 0.22304833
 0.01724138 0.06936416 0.13521127]";49.94904375076294;0.7967163039327988;0.6374570446735395;0.8945017182130585;0.07900743330015998;0.2489619039080774;0.017241379310344827;0.5442764578833693;0.16303500802403553;MLogisticRegression;tfidf;stem
MLogisticRegression_count_lemma;0.10515463917525773;0.43908024043507304;"[0.59140893 0.73264605 0.69037801 0.75704467 0.75945017 0.84845361
 0.82268041 0.88075601 0.89690722]";"[0.5317054  0.51435705 0.39162728 0.49893692 0.34701493 0.39172414
 0.25862069 0.30460922 0.34210526]";36.72086501121521;0.7755250095456281;0.5914089347079038;0.8969072164948454;0.09245821072332772;0.3978556541216692;0.25862068965517243;0.531705395825128;0.09162502062886752;MLogisticRegression;count;lemma
MLogisticRegression_count_stem;0.11030927835051546;0.44639194480701105;"[0.59690722 0.72714777 0.69965636 0.75670103 0.76254296 0.8371134
 0.81752577 0.87457045 0.88728522]";"[0.54197579 0.51348039 0.425      0.49356223 0.37915544 0.36461126
 0.28340081 0.29672447 0.33870968]";58.904298067092896;0.7732722413134785;0.5969072164948453;0.8872852233676976;0.08713684353953757;0.4040688964118814;0.28340080971659914;0.5419757907067552;0.08942369879755555;MLogisticRegression;count;stem
